綜合其他,#genre#
ROCK Xstream搖滾極限頻道,http://168x.168ro.top:34567/zb/token5.php?token=b8fe2e8516a926715eaf4ed39b279b

音樂綜藝,#genre#
八大綜藝,http://168x.168ro.top:34567/zb/token5.php?token=cfc74cc54d4e12e218703477dbc6c6
TVBS精采台,http://168x.168ro.top:34567/zb/token5.php?token=9aaf3b1576bea11d089961c3557dc6
民視綜藝,http://168x.168ro.top:34567/zb/token5.php?token=5daf6dbfc80829b8a72cffc9c8968d
豬哥亮歌廳秀,http://168x.168ro.top:34567/zb/token5.php?token=ceef844748b54bf587339ecfc6e739
TVBS歡樂台,http://168x.168ro.top:34567/zb/token5.php?token=b5ca70d1b030810917eebd273397e6
電影原聲台 CMusic,http://168x.168ro.top:34567/zb/token5.php?token=95fd876f0774b3b3c15b7be2db9854
TRACE Urban,http://168x.168ro.top:34567/zb/token5.php?token=9d72446876bd4acc43c06e8fd50d70
Mezzo Live HD,http://168x.168ro.top:34567/zb/token5.php?token=6e018f44cbb80818144a06c74afb76
CLASSICA古典樂,http://168x.168ro.top:34567/zb/token5.php?token=b8edc39a495a82bf42a001c9d734f3
八大精彩,http://168x.168ro.top:34567/zb/token5.php?token=52c7ddd5147e33da738a981e6838f8

生活旅遊,#genre#
Global Trekker,http://168x.168ro.top:34567/zb/token5.php?token=dbfa02452fe40971935063f7b5bfb7
Lifetime,http://168x.168ro.top:34567/zb/token5.php?token=c69c376a79fd5551ce4b67811733f5
INULTRA,http://168x.168ro.top:34567/zb/token5.php?token=be2157b1c69f60001d97329f0e60a7
民視旅遊,http://168x.168ro.top:34567/zb/token5.php?token=3c0bb3eae9349e4aeaf3659f0661ba
滾動力 Rollor,http://168x.168ro.top:34567/zb/token5.php?token=d6eaf27170c6e13bbb3c0e38e320ec
亞洲旅遊,http://168x.168ro.top:34567/zb/token5.php?token=1601445ce49d6f138494ca170c9fd8
FUN 4K探索娛樂,http://168x.168ro.top:34567/zb/token5.php?token=7c2c4354775c9ba480a5f37e415f26
幸福空間居家台,http://168x.168ro.top:34567/zb/token5.php?token=8dd53db00d26434aa673fb76471b59
LOVE NATURE,http://168x.168ro.top:34567/zb/token5.php?token=99f37d077885551a6cceecaf622cb6
愛爾達生活旅遊台,http://168x.168ro.top:34567/zb/token5.php?token=ed2c31dd3bc21dafc06bd1f8d0caa6
LUXE TV,http://168x.168ro.top:34567/zb/token5.php?token=ed177e92f623b82c1580ffef00b73b
TV5MONDE Style,http://168x.168ro.top:34567/zb/token5.php?token=4c03e0f949fdc4bae85b0a62b79372
MagellanTV頻道 (麥哲倫頻道) ,http://168x.168ro.top:34567/zb/token5.php?token=841b9ef34b146232e459b4f92179b5
Smart知識台,http://168x.168ro.top:34567/zb/token5.php?token=e1cd9597f3c5e2264ed800ca41db81

兒童卡通,#genre#
LiveABC互動英語頻道,http://168x.168ro.top:34567/zb/token5.php?token=55c54cc962b54a7b57b1dcc33046b3
達文西頻道,http://168x.168ro.top:34567/zb/token5.php?token=719364a5cb04791ee97abe86ea8513
ELTV生活英語台,http://168x.168ro.top:34567/zb/token5.php?token=de2e3f5b7474250c745b1729fc9d8d
Nick Jr. 兒童頻道,http://168x.168ro.top:34567/zb/token5.php?token=0acff74d6c2fb993b1eb4c30d88241
尼克兒童頻道,http://168x.168ro.top:34567/zb/token5.php?token=fb1bf16945dd81017410465a13c54e
DreamWorks 夢工廠動畫,http://168x.168ro.top:34567/zb/token5.php?token=792d01121d7ef5a9fa4eacd8185c01
靖天卡通,http://168x.168ro.top:34567/zb/token5.php?token=aacc291c7896821d6321fdb9b5f9f7
靖洋卡通Nice Bingo,http://168x.168ro.top:34567/zb/token5.php?token=7a2ba291db9234f6fa7fda021aeb1d
MOMO親子,http://168x.168ro.top:34567/zb/token5.php?token=acc280c43b3a86d5015de86838767a
經典卡通台,http://168x.168ro.top:34567/zb/token5.php?token=61542bffdfeb32ddf082915a362486
精選動漫台,http://168x.168ro.top:34567/zb/token5.php?token=98eecbd1c052971747542dc1c1fd5c
龍華卡通,http://168x.168ro.top:34567/zb/token5.php?token=aeb44821a5aab51a0f548aedd44b8d

新聞財經,#genre#
鏡電視新聞台,http://168x.168ro.top:34567/zb/token5.php?token=58bbe01f0065a50865a60d89a28952
TVBS,http://168x.168ro.top:34567/zb/token5.php?token=6fcba6f34333b3d6b0500bd260593a
TVBS新聞,http://168x.168ro.top:34567/zb/token5.php?token=7ac4c99b0c7ebd02a84439214c13a3
東森新聞,http://168x.168ro.top:34567/zb/token5.php?token=dd2202887aa50b7d317000928cfd37
華視新聞台,http://168x.168ro.top:34567/zb/token5.php?token=f0be715ed84314c259d8683d131a55
NHK WORLD-JAPAN,http://168x.168ro.top:34567/zb/token5.php?token=c5c3f84867b0c23b4dddcaea1bfa92
民視新聞,http://168x.168ro.top:34567/zb/token5.php?token=977432368a3a568cb61a534b6b1094
三立新聞iNEWS,http://168x.168ro.top:34567/zb/token5.php?token=5b9b8240c84d65f6566e364b1f79d1
東森財經新聞,http://168x.168ro.top:34567/zb/token5.php?token=c4c4ed83ed7a86f03d64a0d6370156
中視新聞台,http://168x.168ro.top:34567/zb/token5.php?token=da09fa0aeadc0549f93a35f5a490d1
中天新聞台,http://168x.168ro.top:34567/zb/token5.php?token=784425acc0b03f3ca9b1fa917b1eed
BLOOMBERG TV,http://168x.168ro.top:34567/zb/token5.php?token=60a737bdcd0ed3848f1841c9400897
寰宇新聞,http://168x.168ro.top:34567/zb/token5.php?token=377c428ecd7ee761765b68697c9a73
寰宇新聞台灣台,http://168x.168ro.top:34567/zb/token5.php?token=c7fbfe9124cf7caf2aefd5ba1e1efe
SBN 全球財經台,http://168x.168ro.top:34567/zb/token5.php?token=9f6fb58857d5d1b82d00f1e81a9246
FRANCE24 英文台,http://168x.168ro.top:34567/zb/token5.php?token=6ac5258f7dd596b12e66c56b7d789a
半島國際新聞台,http://168x.168ro.top:34567/zb/token5.php?token=47e23ae06cc87b90b4e38cc9ad9e89
CNBC Asia 財經台,http://168x.168ro.top:34567/zb/token5.php?token=6a5f0d8528f42f9df7fed76050da64
DW德國之聲,http://168x.168ro.top:34567/zb/token5.php?token=7c6e83bdf921e9bafb864cbe3cf6c6
非凡新聞,http://168x.168ro.top:34567/zb/token5.php?token=3374d907dabb282692e471de6825c7
非凡商業,http://168x.168ro.top:34567/zb/token5.php?token=fd55fea140ba939b0185a1b2488803
寰宇財經,http://168x.168ro.top:34567/zb/token5.php?token=daaa11759b0cc958dee704391782b4
第1商業台,http://168x.168ro.top:34567/zb/token5.php?token=882c5ab3827b3e137ab9b9f171e334
倪珍播新聞,http://168x.168ro.top:34567/zb/token5.php?token=675de253bf26f33ff9b0076cd8b83e

體育競技,#genre#
博斯魅力台,http://168x.168ro.top:34567/zb/token5.php?token=7ce9e98b35304daec5c4ad3d478873
博斯高球台,http://168x.168ro.top:34567/zb/token5.php?token=a1cbc49e85fce42e1ec8aac974cf01
博斯高球二台,http://168x.168ro.top:34567/zb/token5.php?token=eb476484778f6a20b8b19b1dc98a80
博斯運動一台,http://168x.168ro.top:34567/zb/token5.php?token=2f46d792701585cbe16b6f34db11d1
博斯運動二台,http://168x.168ro.top:34567/zb/token5.php?token=07bca7134802fab2041e4113421828
博斯網球台,http://168x.168ro.top:34567/zb/token5.php?token=3bced03199adefb5b98631585313ee
博斯無限台,http://168x.168ro.top:34567/zb/token5.php?token=330e9ee9af8ae955429f9ccee68030
博斯無限二台,http://168x.168ro.top:34567/zb/token5.php?token=4acdd237f8d63897f5350ff9601407
Getwin Sports運動台,http://168x.168ro.top:34567/zb/token5.php?token=34c0454a73acbf49a6cfda61721330
TRACE Sport Stars,http://168x.168ro.top:34567/zb/token5.php?token=671a0e92d636bf62e0cbff1f87295a
智林體育,http://168x.168ro.top:34567/zb/token5.php?token=92fd7f8891a0a00c99c741e9259d3f
時尚運動X,http://168x.168ro.top:34567/zb/token5.php?token=3b37e13f8977ed579b8b939de28177
車迷 TV,http://168x.168ro.top:34567/zb/token5.php?token=19b9a0b509d8e764ae431bcb183906
GINX Esports TV,http://168x.168ro.top:34567/zb/token5.php?token=d1eabbcfb0137f5556d27f1b69ccd8

紀實探索,#genre#
History 歷史頻道,http://168x.168ro.top:34567/zb/token5.php?token=d193d75e23f16c0a03a173f15bdee7
CI 罪案偵查頻道,http://168x.168ro.top:34567/zb/token5.php?token=a1b4016177b6ef2701d8122387fe72
視納華仁紀實頻道,http://168x.168ro.top:34567/zb/token5.php?token=f011a7602b4b3e74d21b61ed04432c
影迷數位紀實台,http://168x.168ro.top:34567/zb/token5.php?token=4b1ffffaa709c01702209ad871fb79
